,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
3305,BDCQ.SEA2BS,2012.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3306,BDCQ.SEA2BS,2012.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3307,BDCQ.SEA2BS,2012.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3308,BDCQ.SEA2BS,2012.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3309,BDCQ.SEA2BS,2013.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3310,BDCQ.SEA2BS,2013.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3311,BDCQ.SEA2BS,2013.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3312,BDCQ.SEA2BS,2013.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3313,BDCQ.SEA2BS,2014.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3314,BDCQ.SEA2BS,2014.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3315,BDCQ.SEA2BS,2014.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3316,BDCQ.SEA2BS,2014.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3317,BDCQ.SEA2BS,2015.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3318,BDCQ.SEA2BS,2015.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3319,BDCQ.SEA2BS,2015.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3320,BDCQ.SEA2BS,2015.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3321,BDCQ.SEA2BS,2016.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3322,BDCQ.SEA2BS,2016.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3323,BDCQ.SEA2BS,2016.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3324,BDCQ.SEA2BS,2016.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3325,BDCQ.SEA2BS,2017.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3326,BDCQ.SEA2BS,2017.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3327,BDCQ.SEA2BS,2017.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3328,BDCQ.SEA2BS,2017.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3329,BDCQ.SEA2BS,2018.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3330,BDCQ.SEA2BS,2018.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3331,BDCQ.SEA2BS,2018.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3332,BDCQ.SEA2BS,2018.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3333,BDCQ.SEA2BS,2019.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3334,BDCQ.SEA2BS,2019.06,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3335,BDCQ.SEA2BS,2019.09,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3336,BDCQ.SEA2BS,2019.12,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3337,BDCQ.SEA2BS,2020.03,,Y,R,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3338,BDCQ.SEA2BS,2020.06,,Y,F,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3339,BDCQ.SEA2BS,2020.09,,Y,F,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3340,BDCQ.SEA2BS,2020.12,,Y,F,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Seasonally adjusted,,
3341,BDCQ.SEA2BT,2011.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3342,BDCQ.SEA2BT,2011.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3343,BDCQ.SEA2BT,2011.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3344,BDCQ.SEA2BT,2012.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3345,BDCQ.SEA2BT,2012.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3346,BDCQ.SEA2BT,2012.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3347,BDCQ.SEA2BT,2012.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3348,BDCQ.SEA2BT,2013.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3349,BDCQ.SEA2BT,2013.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3350,BDCQ.SEA2BT,2013.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3351,BDCQ.SEA2BT,2013.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3352,BDCQ.SEA2BT,2014.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3353,BDCQ.SEA2BT,2014.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3354,BDCQ.SEA2BT,2014.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3355,BDCQ.SEA2BT,2014.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3356,BDCQ.SEA2BT,2015.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3357,BDCQ.SEA2BT,2015.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3358,BDCQ.SEA2BT,2015.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3359,BDCQ.SEA2BT,2015.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3360,BDCQ.SEA2BT,2016.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3361,BDCQ.SEA2BT,2016.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3362,BDCQ.SEA2BT,2016.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3363,BDCQ.SEA2BT,2016.12,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3364,BDCQ.SEA2BT,2017.03,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3365,BDCQ.SEA2BT,2017.06,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
3366,BDCQ.SEA2BT,2017.09,,Y,C,Value,6,Business Data Collection - BDC,Industry by employment variable,Total earnings,Mining,Trend,,
