Series_reference,Data_value
BDCQ.SED1RIA,11754424.0
BDCQ.SED1RIS,11753709.0
BDCQ.SED1RIT,11753915.0
BDCQ.SED1RJA,978389.0
BDCQ.SED1RJS,978392.0
BDCQ.SED1RJT,978780.0
BDCQ.SED1RKA,1106933.0
BDCQ.SED1RKS,1106744.0
BDCQ.SED1RKT,1106705.0
BDCQ.SED1RLA,1247881.0
BDCQ.SED1RLS,1247729.0
BDCQ.SED1RLT,1247574.0
BDCQ.SED1RMA,730897.0
BDCQ.SED1RMS,730875.0
BDCQ.SED1RMT,730558.0
BDCQ.SED1RNA,13957656.0
BDCQ.SED1RNS,13956796.0
BDCQ.SED1RNT,13956494.0
BDCQ.SED1ROA,5162239.0
BDCQ.SED1ROS,5161881.0
BDCQ.SED1ROT,5161845.0
BDCQ.SED1RPA,2305338.0
BDCQ.SED1RPS,2305316.0
BDCQ.SED1RPT,2305130.0
BDCQ.SED2RAA,42010.201584
BDCQ.SED2RAS,0.0
BDCQ.SED2RAT,0.0
BDCQ.SED2RBA,574867.658687
BDCQ.SED2RBS,0.0
BDCQ.SED2RBT,0.0
BDCQ.SED2RCA,137821.5951
BDCQ.SED2RCS,0.0
BDCQ.SED2RCT,0.0
BDCQ.SED2RDA,85374.374432
BDCQ.SED2RDS,0.0
BDCQ.SED2RDT,0.0
BDCQ.SED2REA,12673.073666
BDCQ.SED2RES,0.0
BDCQ.SED2RET,0.0
BDCQ.SED2RFA,47887.79065
BDCQ.SED2RFS,0.0
BDCQ.SED2RFT,0.0
BDCQ.SED2RGA,36117.106369
BDCQ.SED2RGS,0.0
BDCQ.SED2RGT,0.0
BDCQ.SED2RHA,67204.640725
BDCQ.SED2RHS,0.0
BDCQ.SED2RHT,0.0
BDCQ.SED2RIA,198636.444424
BDCQ.SED2RIS,0.0
BDCQ.SED2RIT,0.0
BDCQ.SED2RJA,12494.230077
BDCQ.SED2RJS,0.0
BDCQ.SED2RJT,0.0
BDCQ.SED2RKA,14264.237182
BDCQ.SED2RKS,0.0
BDCQ.SED2RKT,0.0
BDCQ.SED2RLA,16110.99302
BDCQ.SED2RLS,0.0
BDCQ.SED2RLT,0.0
BDCQ.SED2RMA,9610.014523
BDCQ.SED2RMS,0.0
BDCQ.SED2RMT,0.0
BDCQ.SED2RNA,199919.500628
BDCQ.SED2RNS,0.0
BDCQ.SED2RNT,0.0
BDCQ.SED2ROA,68648.20259
BDCQ.SED2ROS,0.0
BDCQ.SED2ROT,0.0
BDCQ.SED2RPA,30119.314589
BDCQ.SED2RPS,0.0
BDCQ.SED2RPT,0.0
BDCQ.SED3RAA,2825332.0
BDCQ.SED3RBA,36354686.0
BDCQ.SED3RCA,8989540.0
BDCQ.SED3RDA,6087548.0
BDCQ.SED3REA,962447.0
BDCQ.SED3RFA,3508820.0
BDCQ.SED3RGA,2397212.0
BDCQ.SED3RHA,4814897.0
BDCQ.SED3RIA,12519083.0
BDCQ.SED3RJA,950339.0
BDCQ.SED3RKA,1242090.0
BDCQ.SED3RLA,1072569.0
BDCQ.SED3RMA,680197.0
BDCQ.SED3RNA,13992040.0
BDCQ.SED3ROA,5169250.0
BDCQ.SED3RPA,2244872.0
BDCQ.SEE1001A,1129522.0
BDCQ.SEE1002A,1679331.0
BDCQ.SEE1003A,360603.0
BDCQ.SEE1011A,463107.0
BDCQ.SEE1012A,341396.0
BDCQ.SEE1013A,1937864.0
BDCQ.SEE1015A,721419.0
BDCQ.SEE1016A,3243040.0
BDCQ.SEE1017A,1228726.0
BDCQ.SEE1018A,229119.0
BDCQ.SEE1019A,521776.0
BDCQ.SEE1020A,185563.0
BDCQ.SEE1021A,778875.0
BDCQ.SEE1022A,1250610.0
BDCQ.SEE1023A,2622541.0
BDCQ.SEE1024A,1542048.0
BDCQ.SEE1025A,742398.0
BDCQ.SEE1026A,110779.0
BDCQ.SEE1027A,146840.0
BDCQ.SEE1028A,1037105.0
BDCQ.SEE1029A,186689.0
BDCQ.SEE1030A,1921535.0
BDCQ.SEE1031A,1204230.0
BDCQ.SEE1032A,324939.0
BDCQ.SEE1033A,1787871.0
BDCQ.SEE1034A,164348.0
BDCQ.SEE1035A,590093.0
BDCQ.SEE1036A,269788.0
BDCQ.SEE1037A,925439.0
BDCQ.SEE1038A,326991.0
BDCQ.SEE1039A,887103.0
BDCQ.SEE1040A,1733998.0
BDCQ.SEE1041A,411120.0
BDCQ.SEE1042A,600490.0
BDCQ.SEE1043A,998216.0
BDCQ.SEE1044A,1295799.0
BDCQ.SEE1045A,1022351.0
BDCQ.SEE1046A,2395899.0
BDCQ.SEE1047A,5094387.0
BDCQ.SEE1048A,537677.0
BDCQ.SEE1049A,176592.0
BDCQ.SEE1050A,228597.0
BDCQ.SEE1051A,978242.0
BDCQ.SEE1052A,1107156.0
BDCQ.SEE1053A,1247661.0
BDCQ.SEE1054A,66953.0
BDCQ.SEE1055A,208873.0
BDCQ.SEE1056A,308013.0
BDCQ.SEE1057A,214045.0
BDCQ.SEE1058A,267320.0
BDCQ.SEE1059A,1168213.0
BDCQ.SEE1060A,8919116.0
BDCQ.SEE1062A,1368556.0
BDCQ.SEE1063A,740732.0
BDCQ.SEE1064A,1147351.0
BDCQ.SEE1065A,100765.0
BDCQ.SEE1066A,147712.0
BDCQ.SEE1067A,10155.0
BDCQ.SEE1068A,496345.0
BDCQ.SEE1069A,538923.0
BDCQ.SEE1070A,955409.0
BDCQ.SEE1071A,2807144.0
BDCQ.SEE1072A,390954.0
BDCQ.SEE1073A,676603.0
BDCQ.SEE1074A,291412.0
BDCQ.SEE1075A,1336949.0
BDCQ.SEE1076A,34995011.0
BDCQ.SEE1999A,0.0
BDCQ.SEE2001A,14124.484872
BDCQ.SEE2002A,23415.206137
BDCQ.SEE2003A,4472.5841
BDCQ.SEE2011A,5313.777855
BDCQ.SEE2012A,4209.924465
BDCQ.SEE2013A,28795.445226
BDCQ.SEE2015A,9696.364069
BDCQ.SEE2016A,47821.664935
BDCQ.SEE2017A,18457.808401
BDCQ.SEE2018A,2912.510428
